user_id,created_at,hashtags,retweet_count,favorite_count,user_name,user_friends_count,user_followers_count,user_location,user_tweet_count,place,geo,tweets
14402013,2019-01-11 03:04:03,[],0,0,Scott Goldstein,996,142,Los Angeles,730,None,None,b'@politico Warning to Al Franken.  Stay home   She\xe2\x80\x99s crossing state lines'
309988675,2019-01-11 00:43:25,[],0,0,Rita Watnick,796,309,"Beverly Hills, CA",4625,None,None,b'@JamesCorneille Reminds me. \nWhere is Al Franken?\nWe want him. \nWe need him. \n@alfranken'
7512862,2019-01-11 00:34:15,[],0,1,Mark Netter,3519,1017,Santa Monica,5212,None,None,b'@ForecasterEnten I wonder if she\xe2\x80\x99ll get Al Franken\xe2\x80\x99s endorsement.'
109019732,2019-01-09 22:06:48,[],0,4,angela mancuso,251,171,los angeles,4924,None,None,b'@SenGillibrand AL FRANKEN'
7512862,2019-01-08 23:00:20,[],0,4,Mark Netter,3519,1017,Santa Monica,5212,None,None,b'@SenGillibrand @realDonaldTrump Where is Al Franken when you need him?'
3083325002,2019-01-08 21:54:27,[],1,1,The Future is Red (not blue),17821,17793,"Los Angeles, CA",106222,"Place(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'@OKane33Lysa @jk11195355 @TruthPipe @Cb59Carolina75 @jewelsofvalue @1FlamingCranium @Big_crusher1000 @TrumpSugar\xe2\x80\xa6 https://t.co/QWfh2B8U1M'
748192653007675392,2019-01-08 14:31:20,[],0,1,Christian Varela,138,106,"Los Angeles, CA",9109,None,None,"b'@DaShanneStokes You know that not all these accusations have credible proof, right? Al Franken could still very wel\xe2\x80\xa6 https://t.co/9LsWfX8oYZ'"
148128790,2019-01-07 03:15:20,[],0,2,Steve Miller,336,230,"Los Angeles, California",7708,None,None,"b""@GenZDem @TheDemCoalition and if there isn't any, Roger Stone will manufacture some... ask Al Franken."""
148128790,2019-01-07 03:14:03,[],0,1,Steve Miller,336,230,"Los Angeles, California",7708,None,None,b'@TheDemCoalition Al Franken'
260033002,2019-01-07 01:16:44,[],0,0,Theo Wallace,2356,363,"LA, CA, USA",8698,None,None,b'@johnlevenstein I nominate Al Franken'
14923996,2019-01-07 00:43:50,[],0,2,Gene the Cow,1204,1372,"Hollywood, Los Angeles",17129,None,None,"b""@RF_P0TUS The timeliness of this tweet makes me wonder what Chaz will tackle next. Nike's Kap ad? Al Franken? The a\xe2\x80\xa6 https://t.co/k1DZAWh89D"""
822493348111912960,2019-01-06 22:25:41,[],0,2,Ann Rose Thomas,631,899,"Los Angeles, CA",14364,None,None,b'@Mshoneybeez99 @DrSamiSchalk @ReignOfApril I think some feel that way\xe2\x80\x94but want to add that I haven\xe2\x80\x99t commented on t\xe2\x80\xa6 https://t.co/H6BSyg2b1u'
1350330338,2019-01-06 20:24:58,[],0,12,Monte Van Vleet,378,114,"Porter Ranch, CA",731,"Place(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, id='3b77caf94bfc81fe', url='https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json', place_type='city', name='Los Angeles', full_name='Los Angeles, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7f5adb9d77b8>, type='Polygon', coordinates=[[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]]), attributes={})",None,b'@CNNSotu @jaketapper @DougJones Taking the high road loses elections. It got Al Franken to resign from the Senate -\xe2\x80\xa6 https://t.co/gLSf5fiLYR'
902606851107282944,2019-01-06 04:20:00,[],0,1,Anatya L,515,431,"Los Angeles, CA",7410,None,None,b'@SenGillibrand Never! You\xe2\x80\x99re the overly ambitious senator who kneecapped our beloved Al Franken without his fair du\xe2\x80\xa6 https://t.co/TrYThj30EK'
66767566,2019-01-05 22:04:01,[],0,1,Paul Petschek,314,179,Los Angeles,4260,None,None,b'This is Al Franken. - Democratic Underground https://t.co/YFpbtEJNI6 via @demunderground'
338027622,2019-01-05 19:02:18,[],0,2,Patricia Gallery,62,33,Los Angeles,168,None,None,"b'@alfranken Franken POTUS 2020 we need you, Al.'"
114522479,2019-01-05 18:25:50,[],0,0,Ivan G.Goldman,1372,1515,Los Angeles,10619,None,None,"b""Gillibrand stuck a shiv in Al Franken to narrow the field. She's the Senate's Barzini\nhttps://t.co/VCdH7OmSUG"""
200668359,2019-01-05 17:18:47,[],0,2,(((Richard Arnold))),1003,173,Los Angeles,16788,None,None,b'@SenGillibrand Sorry but what\xe2\x80\x99s really important to me Senator is that you screwed Al Franken.'
